,Name,Vicinity,lat,long,Clothing,Food,Household,Housing,Training and other services,Notes,Website
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
0,AMMON,2217 Bedford Avenue,40.6497151,-73.9555525,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
1,ARLINGTON,2201 Salisbury Street,40.4192698,-79.9753614,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
2,JEFFERSON,605 Rednap Street,40.4590936,-80.0145125,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
3,MAGEE,745 Greenfield Avenue,40.4243888,-79.93682489999999,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
4,ORMSBY,79 S. 22nd Street,40.4290339,-79.9743036,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
5,PHILLIPS,201 Parkfield Street,40.3915845,-79.99105519999999,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
6,WARRINGTON,329 Warrington Avenue,40.4212661,-80.0009554,0,1,0,0,0,,
